Test,TestNumber,Display,Trial,TrueValue,Subject,Response
"Veritcal Distance, Aligned",2,2,C,0.9,14,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,15,0.92
"Veritcal Distance, Aligned",2,2,C,0.9,16,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,17,0.8
"Veritcal Distance, Aligned",2,2,C,0.9,18,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,19,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,20,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,21,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,22,0.8
"Veritcal Distance, Aligned",2,2,C,0.9,23,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,24,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,25,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,26,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,27,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,28,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,29,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,30,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,31,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,32,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,33,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,34,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,35,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,36,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,37,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,38,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,39,0.91
"Veritcal Distance, Aligned",2,2,C,0.9,40,0.8
"Veritcal Distance, Aligned",2,2,C,0.9,41,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,42,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,43,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,44,0.45
"Veritcal Distance, Aligned",2,2,C,0.9,45,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,46,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,47,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,48,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,49,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,50,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,51,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,52,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,53,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,54,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,55,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,56,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,57,0.85
"Veritcal Distance, Aligned",2,2,C,0.9,58,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,59,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,60,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,61,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,62,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,63,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,64,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,65,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,66,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,67,0.9
